stop_index,stop_name,skip_count
26,Topkapı - Şehit Mustafa Cambaz,59
14,Küçükçekmece,9
33,Okmeydanı Hastane Metrobüs durağı,5
29,Ayvansaray Eyüpsultan,4
16,Florya,3
13,Büyükşehir Belediyesi Sosyal Tesisleri,2
