station,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ACIBADEM,8.0,5.0,1.0,1.0,2.0,6.0,80.0,241.0,216.0,141.0,84.0,73.0,84.0,80.0,102.0,189.0,188.0,189.0,144.0,98.0,50.0,45.0,41.0,24.0
ALTUNIZADE,52.0,18.0,6.0,6.0,7.0,29.0,562.0,2114.0,2507.0,1276.0,717.0,618.0,644.0,584.0,534.0,586.0,758.0,1029.0,1102.0,599.0,323.0,252.0,226.0,137.0
AVCILAR MRK.UNV.KAMP.,37.0,18.0,9.0,8.0,8.0,79.0,725.0,1807.0,1384.0,927.0,620.0,577.0,647.0,610.0,590.0,662.0,796.0,710.0,626.0,468.0,297.0,250.0,183.0,83.0
AYVANSARAY EYUP SULTAN,22.0,17.0,9.0,4.0,4.0,16.0,84.0,264.0,302.0,170.0,108.0,105.0,144.0,153.0,159.0,162.0,237.0,368.0,386.0,218.0,125.0,79.0,60.0,46.0
BAHCELIEVLER,39.0,19.0,10.0,4.0,5.0,30.0,159.0,550.0,666.0,477.0,415.0,428.0,361.0,344.0,448.0,545.0,646.0,603.0,494.0,364.0,231.0,160.0,140.0,84.0
BAYRAMPASA MALTEPE,13.0,7.0,3.0,2.0,2.0,23.0,75.0,211.0,241.0,142.0,114.0,109.0,152.0,131.0,148.0,204.0,279.0,439.0,535.0,311.0,148.0,76.0,62.0,27.0
BESYOL,27.0,12.0,6.0,4.0,6.0,25.0,161.0,479.0,475.0,304.0,332.0,400.0,498.0,646.0,606.0,682.0,1107.0,891.0,761.0,528.0,343.0,240.0,186.0,72.0
BEYKENT,28.0,11.0,6.0,5.0,11.0,100.0,356.0,754.0,675.0,483.0,372.0,362.0,381.0,381.0,349.0,348.0,463.0,521.0,557.0,367.0,207.0,138.0,105.0,50.0
BEYLIKDUZU,35.0,14.0,9.0,5.0,11.0,59.0,329.0,715.0,650.0,438.0,342.0,341.0,379.0,366.0,349.0,377.0,431.0,530.0,646.0,481.0,313.0,290.0,257.0,91.0
BEYLIKDUZU BELEDIYESI,21.0,9.0,6.0,5.0,7.0,40.0,214.0,468.0,435.0,251.0,179.0,175.0,226.0,183.0,143.0,173.0,214.0,262.0,196.0,149.0,92.0,70.0,56.0,33.0
